"","Views","Title","Department","Details","Amount","Date","Place","ID"
"43","23 views","
                      I Paid Rs. 50 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 50
                        ","November 07, 2015","Agra
                      , Uttar Pradesh","82171"
"44","43 views","
                      I Paid Rs. 50000 to Police in Abhayapuri.
                    ","Police","Filing FIR","Paid INR 50,000
                        ","November 07, 2015","Abhayapuri
                      , Assam","82170"
"45","24 views","
                      I Paid Rs. 50 to Municipal Services in Jalpaiguri.
                    ","Municipal Services","Birth Certificate","Paid INR 50
                        ","November 07, 2015","Jalpaiguri
                      , West Bengal","82167"
"46","31 views","
                      I Paid Rs. 100 to Others in Cochin.
                    ","Others","Others","Paid INR 100
                        ","November 07, 2015","Cochin
                      , Kerala","82164"
"47","75 views","
                      I Paid Rs. 100 to Income Tax in Bankura.
                    ","Income Tax","New PAN Card","Paid INR 100
                        ","November 07, 2015","Bankura
                      , West Bengal","82155"
"48","112 views","
                      I Paid Rs. 100 to Municipal Services in Chamba.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","November 06, 2015","Chamba
                      , Uttarakhand","82144"
"49","91 views","
                      I Paid Rs. 50 to Municipal Services in New Delhi.
                    ","Municipal Services","Birth Certificate","Paid INR 50
                        ","November 06, 2015","New Delhi
                      , Delhi","82143"
"50","99 views","
                      I Paid Rs. 1000 to Railways in Hyderabad.
                    ","Railways","Transport of Goods","Paid INR 1,000
                        ","November 06, 2015","Hyderabad
                      , Telangana","82140"
"51","128 views","
                      I Paid Rs. 15000 to Stamps and Registration in Meerut.
                    ","Stamps and Registration","Registration of Property","Paid INR 15,000
                        ","November 06, 2015","Meerut
                      , Uttar Pradesh","82138"
"52","90 views","
                      I Paid Rs. 200 to Municipal Services in Rewa.
                    ","Municipal Services","Birth Certificate","Paid INR 200
                        ","November 06, 2015","Rewa
                      , Madhya Pradesh","82131"
"53","101 views","
                      I Paid Rs. 50000 to Municipal Services in Nagarkurnool.
                    ","Municipal Services","Birth Certificate","Paid INR 50,000
                        ","November 06, 2015","Nagarkurnool
                      , Telangana","82125"
"54","101 views","
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 100
                        ","November 06, 2015","Abohar
                      , Punjab","82120"
"55","144 views","
                      I paid 1300 for a license and didn't even get it
                    ","Transport","Driving licence Process","Paid INR 1,300
                        ","November 06, 2015","Bangalore
                      , Karnataka","82109"
"56","138 views","
                      I Paid Rs. 2 to Passport in New Delhi.
                    ","Passport","Passport Delivery","Paid INR 2
                        ","November 05, 2015","New Delhi
                      , Delhi","82039"
"57","93 views","
                      I Paid Rs. 350 to Municipal Services in Mandla.
                    ","Municipal Services","Birth Certificate","Paid INR 350
                        ","November 05, 2015","Mandla
                      , Madhya Pradesh","82028"
"58","139 views","
                      I Paid Rs. 439 to Income Tax in Chamarajanagar.
                    ","Income Tax","New PAN Card","Paid INR 439
                        ","November 05, 2015","Chamarajanagar
                      , Karnataka","82018"
"59","109 views","
                      I Paid Rs. 500 to Others in Hyderabad.
                    ","Others","Others","Paid INR 500
                        ","November 05, 2015","Hyderabad
                      , Telangana","82017"
"60","124 views","
                      I Paid Rs. 100 to Police in Patiala.
                    ","Police","Filing FIR","Paid INR 100
                        ","November 05, 2015","Patiala
                      , Punjab","82002"
"61","131 views","
                      I Paid Rs. 100 to Income Tax in New Delhi.
                    ","Income Tax","New PAN Card","Paid INR 100
                        ","November 05, 2015","New Delhi
                      , Delhi","81999"
"62","89 views","
                      Bribe for getting certificate for  shop estabilshment certificate 
                    ","Municipal Services","Shop Act License","Paid INR 1,000
                        ","November 05, 2015","Mumbai
                      , Maharashtra","81974"
"63","128 views","
                      I Paid Rs. 500 to Stamps and Registration in Pune.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 500
                        ","November 05, 2015","Pune
                      , Maharashtra","81972"
"64","43 views","
                      I Paid Rs. 56 to Municipal Services in Ahmedabad.
                    ","Municipal Services","Birth Certificate","Paid INR 56
                        ","November 05, 2015","Ahmedabad
                      , Gujarat","81968"
"65","40 views","
                      I Paid Rs. 100 to Municipal Services in Abohar.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","November 05, 2015","Abohar
                      , Punjab","81967"
"66","90 views","
                      I Paid Rs. 20000 to Others in Coimbatore.
                    ","Others","Others","Paid INR 20,000
                        ","November 05, 2015","Coimbatore
                      , Tamil Nadu","81957"
"67","45 views","
                      I Paid Rs. 1973 to Municipal Services in Viluppuram.
                    ","Municipal Services","Birth Certificate","Paid INR 1,973
                        ","November 05, 2015","Viluppuram
                      , Tamil Nadu","81955"
"68","42 views","
                      I Paid Rs. 1200 to Municipal Services in Abhayapuri.
                    ","Municipal Services","Birth Certificate","Paid INR 1,200
                        ","November 05, 2015","Abhayapuri
                      , Assam","81954"
"69","52 views","
                      I Paid Rs. 20 to Municipal Services in Amravati.
                    ","Municipal Services","Birth Certificate","Paid INR 20
                        ","November 05, 2015","Amravati
                      , Maharashtra","81929"
"70","47 views","
                      I Paid Rs. 100 to Income Tax in Hyderabad.
                    ","Income Tax","New PAN Card","Paid INR 100
                        ","November 05, 2015","Hyderabad
                      , Telangana","81918"
"71","115 views","
                      I Paid Rs. 789 to Stamps and Registration in Abhayapuri.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 789
                        ","November 04, 2015","Abhayapuri
                      , Assam","81880"
